price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
9275.88,9283.16,9272.72,9283.16,2018-04-30T20:57:53.0000000Z,2018-04-30T20:57:01.0000000Z,2018-04-30T20:58:00.0000000Z,2018-04-30T20:57:00.0000000Z,39,4.93204433
9262.47,9280.13,9262.47,9278.3,2018-04-30T20:58:59.0000000Z,2018-04-30T20:58:01.0000000Z,2018-04-30T20:59:00.0000000Z,2018-04-30T20:58:00.0000000Z,78,5.67023016
9264.76,9275.53,9257.48,9262.47,2018-04-30T20:59:58.0000000Z,2018-04-30T20:59:00.0000000Z,2018-04-30T21:00:00.0000000Z,2018-04-30T20:59:00.0000000Z,111,67.80528303
9266.48,9272.98,9264.66,9272.98,2018-04-30T21:00:57.0000000Z,2018-04-30T21:00:03.0000000Z,2018-04-30T21:01:00.0000000Z,2018-04-30T21:00:00.0000000Z,26,3.80454516
9256.07,9271.52,9253.5,9271.51,2018-04-30T21:01:59.0000000Z,2018-04-30T21:01:01.0000000Z,2018-04-30T21:02:00.0000000Z,2018-04-30T21:01:00.0000000Z,73,25.35422882
9252.54,9258.59,9247.01,9253.55,2018-04-30T21:02:59.0000000Z,2018-04-30T21:02:00.0000000Z,2018-04-30T21:03:00.0000000Z,2018-04-30T21:02:00.0000000Z,129,22.75410201
9242.71,9254.48,9242.71,9252.13,2018-04-30T21:03:59.0000000Z,2018-04-30T21:03:00.0000000Z,2018-04-30T21:04:00.0000000Z,2018-04-30T21:03:00.0000000Z,55,4.84104868
9251.08,9257.8,9238.02,9242.5,2018-04-30T21:04:59.0000000Z,2018-04-30T21:04:00.0000000Z,2018-04-30T21:05:00.0000000Z,2018-04-30T21:04:00.0000000Z,105,8.80649442
9250.04,9260.75,9246.42,9257.79,2018-04-30T21:05:59.0000000Z,2018-04-30T21:05:00.0000000Z,2018-04-30T21:06:00.0000000Z,2018-04-30T21:05:00.0000000Z,56,6.04983853
9249.61,9250.3,9237.64,9250.11,2018-04-30T21:06:54.0000000Z,2018-04-30T21:06:01.0000000Z,2018-04-30T21:07:00.0000000Z,2018-04-30T21:06:00.0000000Z,41,24.07024611
9245.4,9249.37,9237.64,9249.37,2018-04-30T21:07:56.0000000Z,2018-04-30T21:07:03.0000000Z,2018-04-30T21:08:00.0000000Z,2018-04-30T21:07:00.0000000Z,24,2.06257903
9234.68,9245.4,9234.68,9245.38,2018-04-30T21:08:59.0000000Z,2018-04-30T21:08:00.0000000Z,2018-04-30T21:09:00.0000000Z,2018-04-30T21:08:00.0000000Z,52,4.49939829
9227.64,9237.51,9227.64,9234.17,2018-04-30T21:09:59.0000000Z,2018-04-30T21:09:00.0000000Z,2018-04-30T21:10:00.0000000Z,2018-04-30T21:09:00.0000000Z,121,22.93074557
9235.52,9236.9,9224.72,9227.53,2018-04-30T21:10:55.0000000Z,2018-04-30T21:10:00.0000000Z,2018-04-30T21:11:00.0000000Z,2018-04-30T21:10:00.0000000Z,95,15.37351468
