data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
2018-05-05,2018-05-05T13:15:24.1246980Z,2017-03-14T20:03:20.5307029Z,2018-05-05T13:15:24.1246980Z,2017-03-14T20:03:20.5307029Z,2017-03-14,1,59142974.0,2017-12-18T10:58:56.0000000Z,2017-03-14T20:04:46.0000000Z,COINCHECK,coincheck,https://coincheck.com/
2018-05-05,2018-05-05T13:21:13.0960599Z,2017-09-21T13:45:51.3610312Z,2018-05-05T13:21:13.0960599Z,2017-09-21T13:45:51.3610312Z,2016-09-08,229,51286181.0,2018-05-05T13:21:02.0000000Z,2016-09-08T12:23:19.0000000Z,LIQUI,Liqui,https://liqui.io/
2018-05-05,2018-05-05T13:21:57.4264956Z,2017-03-14T20:04:15.0007802Z,2018-05-05T13:21:57.4264956Z,2017-03-14T20:04:15.0007802Z,2016-02-17,48,43956873.0,2018-05-05T13:21:25.0000000Z,2016-02-17T16:38:11.0000000Z,EXMO,EXMO,https://exmo.com/
2018-05-03,2018-05-03T15:56:56.6198023Z,2015-05-19T14:31:56.5100000Z,2018-05-03T15:56:56.6198023Z,2015-05-19T14:31:56.5100000Z,2015-05-18,2,38044915.0,2018-03-09T22:02:59.0000000Z,2015-05-18T00:17:33.0000000Z,CHBTC,CHBTC,https://www.chbtc.com/
2018-05-03,2018-05-03T20:58:24.1943102Z,2017-03-18T22:53:47.5257032Z,2018-05-03T20:58:24.1943102Z,2017-03-18T22:53:47.5257032Z,2015-01-06,3560,19830603.0,2018-05-03T20:52:57.0000000Z,2015-01-06T19:51:51.0000000Z,YOBIT,YObit,https://yobit.net/en/
2018-05-05,2018-05-05T13:17:43.9473376Z,2017-11-29T01:10:28.2891461Z,2018-05-05T13:17:43.9473376Z,2017-11-29T01:10:28.2891461Z,2017-11-28,3,17752579.0,2018-05-05T13:17:34.0000000Z,2017-11-28T21:25:01.0000000Z,BITFLYER,bitFlyer,https://bitflyer.jp/
2018-05-05,2018-05-05T13:18:37.4110282Z,2017-12-28T21:48:26.7161574Z,2018-05-05T13:18:37.4110282Z,2017-12-28T21:48:26.7161574Z,2017-12-14,15,16031739.0,2018-05-05T13:17:54.0000000Z,2017-12-14T05:11:55.0000000Z,ZAIF,Zaif,https://zaif.jp/
2018-05-05,2018-05-05T13:16:36.0847752Z,2017-03-18T22:53:39.4192811Z,2018-05-05T13:16:36.0847752Z,2017-03-18T22:53:39.4192811Z,2013-09-03,4,14253548.0,2018-05-05T13:16:43.0480000Z,2013-09-03T06:31:37.0000000Z,KORBIT,Korbit,https://www.korbit.co.kr
2018-05-05,2018-05-05T13:21:18.8288812Z,2017-12-28T21:49:04.6063124Z,2018-05-05T13:21:18.8288812Z,2017-12-28T21:49:04.6063124Z,2017-12-28,284,11841720.0,2018-05-05T13:21:10.0000000Z,2017-12-28T17:33:30.0000000Z,GATEIO,Gate.io,https://gate.io/
2018-05-01,2018-05-01T02:11:44.1700075Z,2017-03-18T22:53:36.0065489Z,2018-05-01T02:11:44.1700075Z,2017-03-18T22:53:36.0065489Z,2014-12-31,25,11700374.0,2017-09-07T12:19:20.0000000Z,2014-12-31T12:12:00.0000000Z,JUBI,Jubi,https://www.jubi.com
2018-01-09,2018-01-09T00:02:43.5604799Z,2017-03-18T22:53:45.3558927Z,2018-01-09T00:02:43.5604799Z,2017-03-18T22:53:45.3558927Z,2017-03-16,50,10737203.0,2017-10-31T03:58:21.0000000Z,2017-03-16T13:30:42.0000000Z,BTC38,BTC38,http://www.btc38.com
2014-02-25,,,,,2010-07-17,15,10050212.0,2014-02-25T01:59:06.0000000Z,2010-07-17T23:09:17.0000000Z,MTGOX,mtgox,https://www.mtgox.com/
2018-05-05,2018-05-05T13:19:33.4382151Z,2017-12-24T13:03:42.9064646Z,2018-05-05T13:19:33.4382151Z,2017-12-24T13:03:42.9064646Z,2017-12-24,41,9650084.0,2018-05-05T13:19:09.0000000Z,2017-12-24T06:47:19.0000000Z,WEXNZ,WexNz,https://wex.nz/
2018-05-05,2018-05-05T13:22:13.5550000Z,2018-01-24T00:22:08.7776711Z,2018-05-05T13:22:13.5550000Z,2018-01-24T00:22:08.7776711Z,2018-01-24,323,8747534.0,2018-05-05T13:20:53.0000000Z,2018-01-24T15:12:15.0000000Z,KUCOIN,Kucoin,https://kucoin.com/
2018-05-05,2018-05-05T13:16:00.3762876Z,2017-03-18T22:53:40.7300076Z,2018-05-05T13:16:00.3762876Z,2017-03-18T22:53:40.7300076Z,2014-03-01,10,8318865.0,2017-09-07T12:18:53.0000000Z,2014-03-01T12:01:39.0000000Z,LAKEBTC,LakeBTC,https://www.lakebtc.com/
2018-05-05,2018-05-05T13:17:55.1782273Z,2017-03-14T20:04:25.7449674Z,2018-05-05T13:17:55.1782273Z,2017-03-14T20:04:25.7449674Z,2017-02-16,199,7730767.0,2018-05-05T13:16:48.0000000Z,2017-02-16T20:09:59.0000000Z,BLEUTRADE,Bleutrade,https://bleutrade.com
